检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX606|09:24:50.000,20260319,09:24:50.000,09:24:51.000,PX,PX606,44690000,14065,14066,44690000,interval_execution_drop,10000.0,2.9652,5,"PX605,PX609,PX607,PX608,PX604",20,129,290.0,9990.0,9829.379679144386,5.0,10.0,85.3101604278072,170.6203208556144,9891.105058365758,54.44747081712103,20.0,20.0,83.3101604278072,187.0,1838094.0,187.0,31905.999999999894,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:37:28.000,20260319,14:37:28.000,,SC,SC2604,63448000,48937,48937,63448000,visible_execution_drop,803.5000000000002,2.223900000001348,5,"SC2605,SC2606,SC2607,SC2608,SC2609",20,113,290.0,779.4000000000003,790.815,240.9999999999991,299.9377722464207,126.85000000000171,157.87181082763124,,,68.23439999999415,65.01920000000048,229.49999999999704,60.0,47448900.0,60.0,761100.0000000104,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2605|01:40:16.500,20260319,01:40:16.500,01:40:17.500,SC,SC2605,16816000,31780,31780,16816500,"visible_execution_drop,interval_execution_drop",799.8,4.4478000000026965,5,"SC2606,SC2604,SC2607,SC2608,SC2609",20,284,289.5,797.0,796.655737704918,27.999999999999545,35.008752188046444,31.44262295081944,39.31310696526562,796.2370860927152,35.62913907284724,26.72160000000607,26.721600000047665,20.192622950817167,122.0,97192000.0,198.0,383599.9999999972,trade_recovered_3s,1.0,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2605|01:44:44.500,20260319,01:44:44.500,01:44:45.500,SC,SC2605,17084500,32303,32303,17084500,"visible_execution_drop,interval_execution_drop",794.8000000000004,4.447800000004382,5,"SC2606,SC2604,SC2607,SC2608,SC2609",20,419,290.0,791.5,791.9938775510203,33.00000000000409,41.51987921490196,28.061224489800907,35.306019740564786,791.7309941520467,30.6900584795369,31.651999999941967,27.698399999990563,22.75000000000148,49.0,38807700.0,49.0,137500.00000002445,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2605|01:45:28.500,20260319,01:45:28.500,,SC,SC2605,17128500,32391,32391,17129000,"visible_execution_drop,interval_execution_drop",790.95,7.412999999999999,5,"SC2606,SC2604,SC2607,SC2608,SC2609",20,411,290.0,787.0,788.2373626373627,39.500000000000455,49.93994563499646,27.12637362637338,34.29593985254868,,,35.11719999999844,34.29546666668047,30.812499999998977,91.0,71729600.0,268.0,246849.99999999776,trade_recovered_3s,1.0,2.0,2.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2605|09:39:10.000,20260319,09:39:10.000,09:39:11.000,SC,SC2605,45550000,42239,42239,45550000,visible_execution_drop,804.0875000000001,4.077150000002191,4,"SC2604,SC2607,SC2608,SC2609",20,390,290.0,801.6,801.9545454545454,24.87500000000068,30.935687969282796,21.329545454547088,26.52639850084361,802.290909090909,17.965909090910372,23.025400000022596,20.123490909145065,15.416666666666856,11.0,8821500.0,11.0,23462.500000001797,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:05:23.000,20260318,21:05:23.000,21:05:24.000,TA,TA605,323000,705,706,323000,interval_execution_drop,6988.0,6.6716999999999995,5,"TA609,TA606,TA607,TA701,TA608",20,244,290.0,6980.0,6818.654169360052,4.0,11.448196908986834,84.67291531997398,242.3380518602575,6861.191693290735,63.4041533546324,20.0,54.5256,81.17291531997398,1547.0,10548458.0,1547.0,261977.9999999995,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA606|21:06:53.000,20260318,21:06:53.000,21:06:54.000,TA,TA606,413000,803,804,413000,interval_execution_drop,6941.0,3.7065,5,"TA605,TA609,TA607,TA701,TA608",20,201,290.0,6936.0,6774.16091954023,2.5,7.203572972194209,83.41954022988511,240.3674981411471,6806.851485148515,67.07425742574242,20.0,20.873599999999996,79.41954022988511,87.0,589352.0,87.0,14515.000000000013,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|21:07:25.000,20260318,21:07:25.000,21:07:26.000,TA,TA607,445000,873,874,445000,interval_execution_drop,6870.0,1.4826,5,"TA605,TA609,TA606,TA701,TA608",20,122,290.0,6864.0,6766.590909090909,3.0,8.733624454148472,51.704545454545496,150.5226941908166,6809.633333333333,30.18333333333339,20.0,20.0,51.704545454545496,44.0,297730.0,44.0,4550.000000000004,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BR2604|14:48:15.500,20260320,14:48:15.500,,BR,BR2604,64095500,34403,34403,64095500,visible_execution_drop,15877.5,1.4826,5,"BR2605,BR2606,BR2607,BR2609,BR2608",20,134,290.0,15775.0,15824.076923076922,20.5,64.55676271453315,10.684615384615608,33.64703317466732,,,20.0,20.0,20.5,130.0,10285650.0,130.0,34725.00000000073,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2606|09:48:07.677,20260320,09:48:07.677,09:48:08.677,EB,EB2606,46085677,17135,17135,46087677,"visible_execution_drop,interval_execution_drop",9668.5,4.4478,3,"EB2605,EB2604,EB2609",20,132,289.505,9600.0,9603.96551724138,68.5,70.84863215597042,64.53448275861956,66.74715080790149,9603.091549295776,65.40845070422438,37.099799999999995,34.76020000000077,31.5,58.0,2785150.0,166.0,18714.999999999673,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FU2609|09:57:13.500,20260320,09:57:13.500,09:57:14.500,FU,FU2609,46633500,20358,20358,46633500,"visible_execution_drop,interval_execution_drop",4033.75,4.8184499999999995,3,"FU2605,FU2606,FU2604",20,103,290.0,3994.0,3992.136363636364,39.75,98.54353889061046,41.61363636363603,103.16364763219345,3991.073684210526,42.67631578947385,29.2216,29.2216,26.004545454545223,22.0,878270.0,22.0,9154.999999999927,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2609|21:21:18.310,20260320,21:21:18.310,21:21:19.310,L,L2609,1278310,2557,2557,1278310,"visible_execution_drop,interval_execution_drop",8581.0,3.7065,3,"L2605,L2608,L2607",20,480,289.505,8557.0,8557.0,24.0,27.968768208833467,24.0,27.968768208833467,8557.48275862069,23.51724137930978,20.0,20.0,14.83333333333394,8.0,342280.0,8.0,960.0,trade_recovered_3s,2.0,2.5,3.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2604|21:31:22.343,20260320,21:31:22.343,,PG,PG2604,1882343,3583,3583,1882343,visible_execution_drop,6538.5,1.4826,3,"PG2607,PG2606,PG2608",20,271,289.514,6512.0,6522.772727272727,26.5,40.52917335780378,15.727272727272975,24.053334445626636,,,26.4368,24.157978947376368,17.75,66.0,8610060.0,66.0,20760.000000000327,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2604|22:28:08.402,20260320,22:28:08.402,,PG,PG2604,5288402,8991,8991,5288402,visible_execution_drop,6686.25,0.37065,4,"PG2607,PG2606,PG2609,PG2608",20,350,289.003,6652.0,6662.544117647059,34.25,51.22452794914937,23.705882352941444,35.45467542036484,,,27.5444,25.9368,25.75,68.0,9061060.0,68.0,32240.000000000364,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2605|22:04:52.881,20260320,22:04:52.881,22:04:53.881,PG,PG2605,3892881,6931,6931,3892881,"visible_execution_drop,interval_execution_drop",6654.0,0.7413,3,"PG2604,PG2609,PG2608",20,210,289.506,6599.0,6608.370558375634,55.0,82.6570483919447,45.629441624366336,68.57445389895751,6609.720647773279,44.27935222672113,41.0128,41.0128,38.5,197.0,26036980.0,197.0,179780.00000000335,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:13:05.000,20260319,21:13:05.000,21:13:06.000,PX,PX605,785000,1581,1582,785000,interval_execution_drop,9743.0,5.1891,5,"PX609,PX606,PX607,PX608,PX701",20,286,290.0,9722.0,9326.166666666666,10.5,21.55393615929385,208.41666666666697,427.82852646344446,9477.29411764706,132.85294117647027,20.2912,56.1648,200.41666666666697,216.0,2014452.0,216.0,90036.00000000013,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:13:37.000,20260319,21:13:37.000,21:13:38.000,PX,PX605,817000,1645,1646,817000,interval_execution_drop,9733.0,3.33585,4,"PX606,PX607,PX608,PX701",20,283,290.0,9716.0,9338.821705426357,8.5,17.46635158738313,197.08914728682157,404.9915694787251,9496.314136125657,118.34293193717258,20.7912,63.5604,185.08914728682157,258.0,2409416.0,258.0,101697.99999999993,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:13:45.000,20260319,21:13:45.000,21:13:46.000,PX,PX605,825000,1661,1662,825000,interval_execution_drop,9735.0,2.9652,5,"PX609,PX606,PX607,PX608,PX701",20,283,290.0,9714.0,9310.20080321285,10.5,21.57164869029276,212.3995983935747,436.36281128623466,9379.506944444443,177.74652777777737,20.7912,60.09519999999999,200.3995983935747,249.0,2318240.0,249.0,105775.0000000002,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX606|21:16:44.000,20260319,21:16:44.000,21:16:45.000,PX,PX606,1004000,1883,1884,1004000,interval_execution_drop,9652.0,8.1543,5,"PX605,PX609,PX607,PX608,PX701",20,137,290.0,9628.0,9219.466666666667,12.0,24.865312888520513,216.2666666666664,448.12819450200254,9405.391304347826,123.304347826087,27.6868,97.608,209.7666666666664,15.0,138292.0,15.0,6487.999999999993,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX606|21:21:35.000,20260319,21:21:35.000,21:21:36.000,PX,PX606,1295000,2436,2437,1295000,interval_execution_drop,9670.0,4.4478,5,"PX605,PX609,PX607,PX608,PX701",20,100,290.0,9676.0,9360.866666666669,-3.0,-6.204756980351602,154.5666666666666,319.6828679765597,9451.15,109.42500000000018,40.0824,20.0,154.5666666666666,30.0,280826.0,30.0,9273.999999999996,quote_only_recovered_3s,,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX606|09:26:02.000,20260320,09:26:02.000,09:26:03.000,PX,PX606,44762000,13836,13837,44762000,interval_execution_drop,9353.0,1.4826,5,"PX605,PX609,PX607,PX608,PX701",20,112,290.0,9366.0,9214.68253968254,-6.5,-13.899283652304074,69.15873015873058,147.88566269374655,9248.014492753624,52.49275362318804,20.0,20.0,69.15873015873058,126.0,1161050.0,126.0,17428.000000000106,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:12:26.000,20260319,21:12:26.000,21:12:27.000,PX,PX609,746000,1359,1360,746000,interval_execution_drop,9402.0,1.4826,5,"PX605,PX606,PX607,PX608,PX701",20,142,290.0,9400.0,9275.884615384615,1.0,2.127206977238885,63.05769230769238,134.136763045506,9279.471698113208,61.26415094339609,33.0824,53.6648,59.30769230769238,52.0,482346.0,52.0,6558.000000000007,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:14:42.000,20260319,21:14:42.000,21:14:43.000,PX,PX609,882000,1613,1614,882000,interval_execution_drop,9387.0,5.9304,3,"PX605,PX606,PX607",20,162,290.0,9404.0,8991.2,-8.5,-18.110152338340257,197.89999999999964,421.6469585597095,9164.448979591836,111.27551020408193,37.5128,89.3928,197.89999999999964,30.0,269736.0,30.0,11873.999999999978,quote_only_recovered_3s,,7.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:16:41.000,20260319,21:16:41.000,21:16:42.000,PX,PX609,1001000,1833,1834,1001000,interval_execution_drop,9334.0,4.4478,5,"PX605,PX606,PX607,PX608,PX701",20,184,290.0,9348.0,9022.615384615385,-7.0,-14.998928647953717,155.69230769230762,333.60254487316826,9042.585365853658,145.707317073171,34.0824,103.4688,155.69230769230762,39.0,351882.0,39.0,12143.999999999996,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:18:58.000,20260319,21:18:58.000,21:18:59.000,PX,PX609,1138000,2072,2073,1138000,interval_execution_drop,9331.0,5.9304,5,"PX605,PX606,PX607,PX608,PX701",20,163,289.0,9326.0,9040.91304347826,2.5,5.358482477762298,145.04347826086996,310.88517470982737,9097.666666666666,116.66666666666696,31.5824,96.9688,144.41847826086996,46.0,415882.0,46.0,13344.000000000036,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:20:55.000,20260319,21:20:55.000,21:20:56.000,PX,PX609,1255000,2280,2281,1255000,interval_execution_drop,9334.0,2.59455,5,"PX605,PX606,PX607,PX608,PX701",20,156,290.0,9332.0,9081.846153846154,1.0,2.142704092564817,126.07692307692288,270.1455390549022,9177.565217391304,78.21739130434798,31.44,40.0256,126.07692307692288,65.0,590320.0,65.0,16389.99999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|09:15:37.000,20260320,09:15:37.000,09:15:38.000,PX,PX609,44137000,12006,12007,44138000,interval_execution_drop,9146.0,3.7065,5,"PX605,PX606,PX607,PX608,PX701",20,147,289.0,9154.0,9021.195652173914,-4.0,-8.746993221080254,62.40217391304304,136.45784804951464,8994.581395348838,75.70930232558112,31.0824,20.0,62.40217391304304,184.0,1659900.0,344.0,22963.99999999984,trade_recovered_3s,,3.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|09:18:40.000,20260320,09:18:40.000,09:18:41.000,PX,PX609,44320000,12332,12333,44320000,interval_execution_drop,9127.0,2.9652,5,"PX605,PX606,PX607,PX608,PX701",20,183,290.0,9130.0,9017.380952380952,-1.5,-3.286950805302947,54.80952380952385,120.10413894932366,9023.672897196262,51.66355140186897,20.0,20.0,54.80952380952385,210.0,1893650.0,210.0,23020.00000000002,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2605|21:16:45.500,20260320,21:16:45.500,,SC,SC2605,1005500,2010,2010,1005500,visible_execution_drop,789.425,7.412999999999999,4,"SC2607,SC2608,SC2609,SC2604",20,493,290.0,786.1,787.1857142857143,33.24999999999932,42.11926402128045,22.39285714285643,28.36603495310692,,,31.151999999986288,28.18679999997436,21.99999999999932,14.0,11020600.0,14.0,31349.999999999,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2605|02:06:08.000,20260320,02:06:08.000,02:06:09.000,SC,SC2605,18368000,34701,34701,18368000,"visible_execution_drop,interval_execution_drop",779.3499999999999,3.7065,2,"SC2609,SC2604",20,209,290.0,775.3,775.525,40.499999999999545,51.96638224161102,38.24999999999932,49.07936100596564,775.3466666666666,40.0333333333333,39.83240000000763,36.951781818192075,32.82916666666665,4.0,3102100.0,4.0,15299.999999999727,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2606|21:30:22.000,20260320,21:30:22.000,,SC,SC2606,1822000,3591,3591,1822000,visible_execution_drop,770.9,6.67169999999983,4,"SC2607,SC2608,SC2609,SC2604",20,320,290.0,767.0,768.4019230769231,38.99999999999977,50.59021922428301,24.980769230768377,32.40468184040521,,,32.18679999998315,30.55593999999589,27.24999999999909,52.0,39956900.0,52.0,129899.99999999556,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2607|21:30:27.500,20260320,21:30:27.500,,SC,SC2607,1827500,3599,3599,1827500,visible_execution_drop,753.1125000000002,8.710275000000504,2,"SC2605,SC2604",20,146,290.0,749.6,749.9333333333334,35.12500000000159,46.639778253583074,31.79166666666788,42.21370202548473,,,34.152000000012805,34.152000000000456,24.249999999999545,3.0,2249800.0,3.0,9537.500000000364,trade_recovered_3s,0.5,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:13:01.000,20260319,21:13:01.000,21:13:02.000,TA,TA605,781000,1624,1625,781000,interval_execution_drop,6729.0,3.7065,5,"TA609,TA606,TA607,TA701,TA608",20,291,290.0,6726.0,6503.265270506108,1.5,4.458314757021846,112.8673647469459,335.46549189165074,6645.814831066257,41.59258446687136,25.2216,39.9432,110.8673647469459,1146.0,7452742.0,1146.0,258692.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:13:08.000,20260319,21:13:08.000,21:13:09.000,TA,TA605,788000,1638,1639,788000,interval_execution_drop,6718.0,4.4478,5,"TA609,TA606,TA607,TA701,TA608",20,291,290.0,6712.0,6434.7625,3.0,8.931229532598987,141.6187500000001,421.6098541232512,6581.10067114094,68.44966442953,25.2216,39.9432,138.1187500000001,960.0,6177372.0,960.0,271908.0000000002,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:13:15.000,20260319,21:13:15.000,21:13:16.000,TA,TA605,795000,1652,1653,795000,interval_execution_drop,6704.0,3.7065,5,"TA609,TA606,TA607,TA701,TA608",20,291,290.0,6700.0,6488.625429553264,2.0,5.966587112171838,107.68728522336778,321.2627840792595,6601.192738921516,51.40363053924193,25.2216,39.4432,103.68728522336778,1164.0,7552760.0,1164.0,250696.0000000002,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA606|21:09:15.000,20260319,21:09:15.000,21:09:16.000,TA,TA606,555000,1096,1097,555000,interval_execution_drop,6769.0,5.9304,5,"TA605,TA609,TA607,TA701,TA608",20,182,290.0,6754.0,6403.609756097561,7.5,22.159846358398585,182.6951219512193,539.7994443823884,6508.178571428572,130.41071428571422,49.1584,81.38,175.1951219512193,41.0,262548.0,41.0,14980.999999999984,quote_only_recovered_3s,,11.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA606|21:14:46.000,20260319,21:14:46.000,21:14:47.000,TA,TA606,886000,1720,1721,886000,interval_execution_drop,6721.0,0.7413,5,"TA605,TA609,TA607,TA701,TA608",20,152,290.0,6724.0,6460.571428571428,-1.5,-4.463621484898081,130.21428571428578,387.4848555699621,6525.19587628866,97.90206185567013,20.0,60.09519999999999,130.21428571428578,77.0,497464.0,77.0,20053.00000000001,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA606|21:20:09.000,20260319,21:20:09.000,21:20:10.000,TA,TA606,1209000,2351,2352,1209000,interval_execution_drop,6662.0,2.9652,5,"TA605,TA609,TA607,TA701,TA608",20,185,290.0,6658.0,6409.699115044248,2.0,6.004202942059441,126.15044247787591,378.71642893388145,6531.775280898876,65.1123595505619,20.0,20.0,123.65044247787591,113.0,724296.0,113.0,28509.999999999956,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|21:12:13.000,20260319,21:12:13.000,21:12:14.000,TA,TA607,733000,1405,1406,733000,interval_execution_drop,6704.0,1.4826,5,"TA605,TA609,TA606,TA701,TA608",20,136,290.0,6698.0,6463.688888888889,3.0,8.949880668257757,120.15555555555557,358.45929461681254,6469.782608695652,117.108695652174,20.0,58.1648,118.65555555555557,45.0,290866.0,45.0,10814.0,quote_only_recovered_3s,,5.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|21:12:50.000,20260319,21:12:50.000,21:12:51.000,TA,TA607,770000,1477,1478,770000,interval_execution_drop,6685.0,3.7065,5,"TA605,TA609,TA606,TA701,TA608",20,144,290.0,6680.0,6374.756756756757,2.5,7.479431563201197,155.12162162162167,464.08862115668416,6439.688888888889,122.65555555555557,20.0,38.8736,153.12162162162167,37.0,235866.0,37.0,11479.000000000004,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|21:19:08.000,20260319,21:19:08.000,21:19:09.000,TA,TA607,1148000,2206,2207,1148000,interval_execution_drop,6633.0,0.7413,5,"TA605,TA609,TA606,TA701,TA608",20,139,290.0,6630.0,6562.941176470588,1.5,4.522840343735866,35.029411764705856,105.62162449783162,6570.149068322981,31.425465838509353,20.0,23.873599999999996,33.654411764705856,153.0,1004130.0,153.0,10718.999999999993,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA608|21:10:13.000,20260319,21:10:13.000,21:10:14.000,TA,TA608,613000,1152,1153,613000,interval_execution_drop,6666.5,1.85325,5,"TA605,TA609,TA606,TA607,TA701",20,101,290.0,6666.0,6433.315789473684,0.25,0.7500187504687617,116.59210526315792,349.78506041598416,6499.254901960784,83.62254901960796,21.2216,78.09519999999999,115.09210526315792,38.0,244466.0,38.0,8861.000000000002,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA609|21:20:38.000,20260319,21:20:38.000,21:20:39.000,TA,TA609,1238000,2462,2463,1238000,interval_execution_drop,6514.0,1.4826,5,"TA605,TA606,TA607,TA701,TA608",20,250,290.0,6520.0,6314.538961038961,-3.0,-9.2109303039607,99.73051948051943,306.2036213709531,6398.112359550561,57.943820224719275,20.0,24.373599999999996,99.73051948051943,308.0,1944878.0,308.0,61433.99999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA610|21:13:26.000,20260319,21:13:26.000,21:13:27.000,TA,TA610,806000,1228,1229,806000,interval_execution_drop,6470.0,4.4478,5,"TA605,TA609,TA606,TA607,TA701",20,124,289.0,6472.0,6283.555555555556,-1.0,-3.091190108191654,93.22222222222216,288.16761119697736,6358.153846153846,55.92307692307713,20.0,44.803999999999995,92.22222222222216,9.0,56552.0,9.0,1677.999999999999,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BR2604|11:04:52.500,20260323,11:04:52.500,11:04:53.500,BR,BR2604,50692500,25421,25421,50692500,"visible_execution_drop,interval_execution_drop",17592.5,9.6369,2,"BR2607,BR2608",20,245,290.0,17445.0,17445.0,29.5,83.84254653971864,29.5,83.84254653971864,17448.75,28.75,22.2216,20.244799999994243,17.0,1.0,87225.0,1.0,737.5,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BR2604|11:05:10.500,20260323,11:05:10.500,,BR,BR2604,50710500,25438,25438,50710500,visible_execution_drop,17562.5,8.1543,2,"BR2607,BR2608",20,217,290.0,17450.0,17450.0,22.5,64.05693950177935,22.5,64.05693950177935,,,20.0,20.0,22.5,2.0,174500.0,2.0,1125.0,trade_recovered_10s,7.5,,7.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EB2607|10:38:12.736,20260323,10:38:12.736,10:38:13.736,EB,EB2607,49092736,21712,21712,49092736,"visible_execution_drop,interval_execution_drop",10245.5,0.7413,3,"EB2605,EB2604,EB2606",20,282,289.5,10200.0,10211.005,45.5,44.40974086184178,34.49499999999898,33.66843980283928,10208.355513307984,37.14448669201556,31.151999999999997,31.151999999999997,43.0,400.0,20422010.0,400.0,68989.99999999796,persistent_10s,1.0,10.5,,
